Species	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	Comments	time_listed	time_plans	time_review	status_cat	combined_components
Alabama Cave Shrimp	-1	-0.5	E	NA	NA	NA	0.00%	9746	6462	3181	No Change	-1.5
Arroyo Toad	0	1	E-->T	NA	NA	NA	NDIV/0!	7455	5774	2097	Improve	1
Bay Checkerspot Butterfly	0	-1	T-->E	NA	NA	NA	0.00%	10101	6071	2097	Degrade	-1
Black-Capped Vireo	0.5	1	E-->T	NA	NA	NA	0.00%	10083	8628	2850	Improve	1.5
Bluetail Mole Skink	0	0	T	0008-02-07	NA	NA	NDIV/0!	10052	5841	2843	No Change	0
Borax Lake Chub	0	0.5	E-->T	NA	NA	NA	66.67%	12770	10327	995	Improve	0.5
CA Least Tern	1	1	E-->T	NA	NA	NA	NA	16418	10822	3153	Improve	2
Chihuahua Chub	0	-1	T-->E	NA	NA	NA	0.00%	11478	10623	1948	Degrade	-1
Chittenango Ovate Snail	-1	-1	T-->E	0011-01-11	NA	NA	NVALUE!	13435	NA	1291	Degrade	-2
Columbian White-Tailed Deer	0.5	0	E-->T	0011-05-13	NA	NA	0.00%	17597	11658	556	Improve	0.5
Copperbelly Water Snake	0	0	T-->E	NA	NA	NA	0.00%	6680	2334	1817	Degrade	0
Delmarva Fox Squirrel	1	1	E-->R	0009-04-12	NA	NA	NDIV/0!	17597	8011	983	Improve	2
Delta Green Ground Beetle	0	0	T	0002-04-09	NA	0010-04-11	10.00%	12698	1319	2291	No Change	0
Delta Smelt	-0.5	-1	T-->E	NA	NA	NA	0.00%	8106	6744	1705	Degrade	-1.5
Dwarf Wedgemussel	0	0.5	E	NA	NA	NA	0.00%	9193	8131	2851	No Change	0.5
Hawaiian Common Moorhen	0	0	E	NA	NA	NA	0.00%	17597	1212	1722	No Change	0
Hawaiian Crow	-0.5	0	E	NA	NA	NA	0.00%	17597	2219	2114	No Change	-0.5
Hawaiian Hawk	0	0.5	E-->R	NA	NA	NA	NDIV/0!	17597	11328	NA	Improve	0.5
Inyo Towhee	1	1	T-->R	NA	NA	NA	NDIV/0!	10147	6244	2418	Improve	2
Island Night Lizard	1	0	T-->R	0010-05-12	NA	NA	0.00%	13759	11432	952	Improve	1
Kirtlands Warbler	1	1	E-->T	NA	NA	NA	0.00%	17597	10819	997	Improve	2
Least Bells Vireo	0.5	1	E-->T	NA	NA	NA	0.00%	10605	6218	3153	Improve	1.5
Least Tern	0	1	E-->R	NA	NA	NA	0.00%	10944	9004	568	Improve	1
Lesser Long-Nosed Bat	-1	1	E-->T	0009-11-07	NA	NA	0.00%	9723	6646	2803	Improve	0
Litte Colorado Spinedace	-1	-1	T-->E	NA	NA	NA	6.67%	17597	6335	6065	Degrade	-2
Lost River Sucker	0.5	-1	E	0009-01-13	NA	NA	0.00%	6145	1302	621	No Change	-0.5
Magazine Mountain Shagreen	1	0	T-->R	NA	NA	NA	100.00%	9524	7773	NA	Improve	1
Modoc Sucker	1	1	E-->T/R	NA	NA	NA	17.14%	10930	11329	2097	Improve	2
Morro Shoulderband Snail	0.5	0.5	E-->T	0009-11-06	NA	NA	0.00%	7456	6073	3168	Improve	1
Myrtles Silverpot Butterfly	0	0	E	0002-04-09	NA	NA	16.67%	8362	6072	2291	No Change	0
Newells Shearwater	0	-1	T-->E	NA	NA	NA	0.00%	14444	11791	1326	Degrade	-1
Nihoa	0	0	E	NA	NA	NA	0.00%	17597	11180	1333	No Change	0
Northeastern Beach Tiger Beetle	0	-1	T-->E	NA	NA	NA	0.00%	9047	7533	2248	Degrade	-1
Ohlone Tiger Beetle	-0.5	-1	E	NA	0010-03-01	NA	0.00%	4972	6073	2009	No Change	-1.5
Oregon Silverspot Butterfly	0	-1	T-->E	0001-03-12	NA	NA	0.00%	12735	5014	1228	Degrade	-1
Painted Snake Coiled Forest Snail	0	0	T	NA	NA	NA	NDIV/0!	13435	11901	2676	No Change	0
Puritan Tiger Beetle	-1	-1	T-->E	NA	NA	NA	0.00%	9047	7898	2893	Degrade	-2
Purple Cats Paw Pearlymussel	0	-1	E	NA	NA	NA	0.00%	9075	8466	1694	No Change	-1
Smiths Blue Butterfly	0	-1	E-->T	NA	NA	NA	NDIV/0!	14220	11144	3153	Improve	-1
Snake River Physa Snail	0.5	1	E-->T	NA	NA	NA	11.76%	8187	7110	357	Improve	1.5
Southeastern Beach Mouse	0	-0.5	T	0004-07-08	NA	NA	0.00%	9499	7904	2594	No Change	-0.5
Stephens Kangaroo Rat	1	-1	E-->T	NA	NA	NA	50.00%	9723	6535	1393	Improve	0
Tidewater Goby	1	0.5	E-->T	NA	NA	0012-07-05	0.00%	7770	3446	2786	Improve	1.5
Topeka Shiner	0.5	1	E-->T	NA	NA	NA	NVALUE!	5995	NA	1939	Improve	1.5
Uncompahgre Fritillary Butterfly	1	1	E-->T	0001-05-10	NA	NA	0.00%	8726	7729	1956	Improve	2
Valley Elderberry Longhorn Beetle	1	0.5	T-->R	NA	NA	NA	0.00%	12698	11278	3153	Improve	1.5
Virgin Islands Tree Boa	1	1	E-->T	NA	NA	NA	NDIV/0!	16285	10641	2100	Improve	2
Virginia Northern Flying Squirrel	1	0	E-->R	NA	NA	NA	NVALUE!	10180	NA	3283	Improve	1
Waccamaw Silverslide	-1	0	T	0002-08-11	NA	NA	0.00%	10264	7947	1557	No Change	-1
West Indian Manatee	0.5	0.5	E-->T	0004-06-07	NA	NA	0.00%	17597	4945	2961	Improve	1
Wood Stork	0	1	E-->T	NA	NA	NA	0.00%	11399	6682	2793	Improve	1
Yellow-Shouldered Blackbird	0.5	1	E	0002-02-11	NA	NA	0.00%	14033	6758	1563	No Change	1.5
